J,K,network_size,sample_size,rep,runtime_sec,num_binary,num_ct,num_constr,m_sol
3,3,3*3,100,5,0.31332504199963296,606,9,24,"[[4.12693585 0.         0.        ]
 [3.10666933 0.         0.        ]
 [0.96262487 0.36746118 7.26978859]]"
3,3,3*3,250,1,0.828074832999846,1506,9,24,"[[0.         0.         5.91028433]
 [7.46326483 0.08437821 0.        ]
 [0.         1.19462737 1.02583332]]"
3,3,3*3,250,2,0.7922007920005854,1506,9,24,"[[4.01591968 5.02575856 0.        ]
 [3.46454308 0.         0.        ]
 [0.         2.46714265 3.17171961]]"
3,3,3*3,250,3,0.4164658749996306,1506,9,24,"[[0.         0.         4.20854025]
 [5.04673593 0.         0.82704981]
 [1.39046776 2.60260459 0.        ]]"
3,3,3*3,250,4,4.252783374999126,1506,9,24,"[[ 4.03656364 -0.          0.        ]
 [ 4.15149667 -0.          0.        ]
 [ 0.58608648  1.22862384  0.        ]]"
3,3,3*3,250,5,0.8468018750008923,1506,9,24,"[[3.24215773 0.         0.        ]
 [1.00704104 0.30718091 0.        ]
 [4.03526469 0.         0.        ]]"
3,3,3*3,500,1,2.586091499999384,3006,9,24,"[[1.90208013 2.04581835 0.        ]
 [0.         4.80076411 1.39966886]
 [0.         2.01185771 0.        ]]"
3,3,3*3,500,2,3.397034542000256,3006,9,24,"[[0.         2.04222332 4.26155816]
 [0.         0.         2.20125582]
 [6.00259916 3.58082434 0.        ]]"
3,3,3*3,500,3,15.234024082999895,3006,9,24,"[[3.76128298 2.12240134 3.18057536]
 [1.35010221 0.         0.        ]
 [0.         0.         0.        ]]"
3,3,3*3,500,4,11.161048792000656,3006,9,24,"[[0.21421275 6.16675188 2.88241794]
 [0.         0.         0.        ]
 [1.10780276 0.         0.        ]]"
3,3,3*3,500,5,10.042442708001545,3006,9,24,"[[0.00000000e+00 2.22044605e-16 1.39353630e+00]
 [0.00000000e+00 0.00000000e+00 4.49267955e+00]
 [2.63542455e+00 1.89970333e+00 1.84364649e+00]]"
3,3,3*3,1000,1,180.41853687500043,6006,9,24,"[[0.         0.         0.        ]
 [0.         1.82293529 1.00558142]
 [2.36680368 0.         4.11038902]]"
3,3,3*3,1000,2,4.920124166999813,6006,9,24,"[[1.38659042 1.36358589 0.        ]
 [0.         3.9788437  0.        ]
 [3.71738248 0.         2.53573874]]"
3,3,3*3,1000,3,23.936445499999536,6006,9,24,"[[1.11181683 0.57613556 0.        ]
 [6.23850398 0.         0.        ]
 [0.24450254 0.         5.08603202]]"
3,3,3*3,1000,4,9.220012416999452,6006,9,24,"[[4.59813907 0.         3.46543065]
 [0.         0.         2.05917464]
 [0.         4.54885599 3.58985034]]"
3,3,3*3,1000,5,66.66589420799937,6006,9,24,"[[4.66335475 0.04505494 0.        ]
 [2.83348657 0.         2.12464465]
 [0.         2.25239359 0.        ]]"
3,3,3*3,1500,1,33.71998570799951,9006,9,24,"[[2.13772707e+00 2.22044605e-16 2.75778293e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 1.37156213e+00 5.10387127e+00]]"
3,3,3*3,1500,2,18.72523029199874,9006,9,24,"[[0.         0.69127241 1.31414898]
 [2.23868319 0.         0.        ]
 [1.36662732 0.3142488  0.        ]]"
3,3,3*3,1500,3,20.766057458000432,9006,9,24,"[[6.58941079 0.         0.        ]
 [0.         3.81070087 1.82093983]
 [1.11787412 0.11165533 0.        ]]"
3,3,3*3,1500,4,37.06376504199943,9006,9,24,"[[2.20214758 0.19398463 4.09714919]
 [0.         4.47619526 0.        ]
 [5.06014036 0.         0.        ]]"
3,3,3*3,1500,5,15.030435541999395,9006,9,24,"[[1.91757661 0.         0.        ]
 [0.         2.34874759 0.        ]
 [5.36820561 2.51632913 0.94677554]]"
4,4,4*4,100,1,0.46045799999956216,808,16,32,"[[0.         0.         2.40050466 0.        ]
 [0.         0.         2.5334474  0.        ]
 [0.         0.70296395 3.66736672 1.38887589]
 [3.77818173 3.23801548 0.         0.        ]]"
4,4,4*4,100,2,0.26093287499861617,808,16,32,"[[1.713356   5.15379603 1.16059973 0.        ]
 [2.41677348 0.         0.         0.        ]
 [2.41795356 0.         0.         0.        ]
 [0.         1.87888244 0.         5.36550768]]"
4,4,4*4,100,3,1.3865987079989281,808,16,32,"[[2.06556998e+00 0.00000000e+00 0.00000000e+00 1.49993129e-02]
 [2.66453526e-15 0.00000000e+00 0.00000000e+00 7.51189692e+00]
 [1.32460776e+00 2.73432076e+00 3.88690546e+00 0.00000000e+00]
 [5.98448351e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
4,4,4*4,100,4,0.42147066700090363,808,16,32,"[[0.         1.28899532 2.19486822 0.        ]
 [2.32521594 0.         2.85267121 0.67883345]
 [0.         0.         0.         1.78320284]
 [0.         0.33227313 0.         0.        ]]"
4,4,4*4,100,5,0.11480895899876487,808,16,32,"[[5.07107862 0.         3.44042324 0.        ]
 [0.         6.64381596 0.         0.        ]
 [2.33573745 0.         0.         6.31580354]
 [0.         2.38335116 0.         0.32228766]]"
4,4,4*4,250,1,4.133940042000177,2008,16,32,"[[0.         0.         0.         2.32439655]
 [0.         0.         0.         4.02820187]
 [2.30729517 4.29314234 2.84606458 0.40292121]
 [0.         0.         3.79564886 0.        ]]"
4,4,4*4,250,2,13.110540207999293,2008,16,32,"[[7.42191800e-09 7.42191800e-09 0.00000000e+00 3.36923025e+00]
 [6.74469226e+00 0.00000000e+00 0.00000000e+00 1.68395763e+00]
 [0.00000000e+00 9.02240084e-01 0.00000000e+00 1.40167896e+00]
 [0.00000000e+00 5.37289743e+00 0.00000000e+00 0.00000000e+00]]"
4,4,4*4,250,3,4.773051374999341,2008,16,32,"[[0.         0.         0.         2.59182231]
 [0.         0.         2.11763381 0.        ]
 [0.97121757 0.         2.89004689 4.58113523]
 [0.         3.27503774 1.12055649 0.        ]]"
4,4,4*4,250,4,0.9174887919998582,2008,16,32,"[[0.         0.         0.         4.30859309]
 [2.57164803 0.         0.         1.64404553]
 [0.         2.50514951 2.50245712 3.15930825]
 [0.         6.20909481 0.         0.        ]]"
4,4,4*4,250,5,2.384761624998646,2008,16,32,"[[6.49377983 2.62265699 0.         0.        ]
 [0.         0.         1.15690015 0.        ]
 [0.30806726 0.         4.29985779 3.19318001]
 [0.         1.53150096 0.         0.        ]]"
4,4,4*4,500,1,13.818969957999798,4008,16,32,"[[1.17241883e+00 1.57924559e+00 5.05588664e+00 1.77635684e-15]
 [4.79525813e-02 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [7.71370082e-01 0.00000000e+00 0.00000000e+00 8.85836407e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
4,4,4*4,500,2,258.8120451670002,4008,16,32,"[[1.39837544e-06 1.19182034e-06 4.57699637e+00 0.00000000e+00]
 [1.61211087e+00 2.59019577e-06 2.94305066e+00 2.36060152e-03]
 [3.36352314e+00 5.95910173e-07 5.95910173e-07 0.00000000e+00]
 [3.59270679e+00 2.68003164e+00 5.95910165e-07 0.00000000e+00]]"
4,4,4*4,500,3,85.95856574999925,4008,16,32,"[[0.00000000e+00 1.07766707e+00 0.00000000e+00 0.00000000e+00]
 [2.50321994e+00 0.00000000e+00 2.60039765e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 7.09846265e+00 4.66729623e-03]
 [4.47343940e-01 7.53328264e-01 0.00000000e+00 0.00000000e+00]]"
4,4,4*4,500,4,9.882601166998938,4008,16,32,"[[0.         1.4698743  6.8291051  0.        ]
 [0.         0.         1.76807398 2.85706492]
 [0.         0.         0.         3.37480063]
 [1.3707714  0.         0.660572   0.        ]]"
4,4,4*4,500,5,11.508706500000699,4008,16,32,"[[6.60267526 0.         0.         2.9984189 ]
 [0.         0.         0.         2.12775736]
 [0.         0.         5.68627314 0.        ]
 [0.         4.36362718 1.81469015 1.90360358]]"
4,4,4*4,1000,1,288.23677216599935,8008,16,32,"[[0.         3.02326301 0.         0.        ]
 [2.03058485 2.62451155 2.59763274 0.        ]
 [0.         0.08979986 0.         3.28516799]
 [0.         0.         0.         0.        ]]"
4,4,4*4,1000,2,11.360791917000824,8008,16,32,"[[0.         0.         1.45765625 0.        ]
 [7.75590598 0.61507937 0.         0.        ]
 [0.         1.1781275  0.10523805 2.93430233]
 [0.         0.         7.01255494 0.        ]]"
4,4,4*4,1000,3,2768.6582329169996,8008,16,32,"[[0.00000000e+00 0.00000000e+00 3.31588719e+00 2.39337095e+00]
 [6.99803407e+00 0.00000000e+00 0.00000000e+00 5.06224577e-07]
 [1.08655440e+00 0.00000000e+00 1.28901264e+00 5.06224575e-07]
 [0.00000000e+00 0.00000000e+00 2.33739482e+00 0.00000000e+00]]"
4,4,4*4,1000,4,14.983041499999672,8008,16,32,"[[0.         3.96041804 0.         0.        ]
 [2.0072441  1.28187048 0.         1.58018598]
 [6.01275003 0.         2.37347178 0.        ]
 [0.         0.         0.         1.74524193]]"
4,4,4*4,1000,5,462.86975779100067,8008,16,32,"[[0.         0.         4.44596651 3.29133655]
 [0.         0.         0.         1.72063473]
 [0.         0.         0.         0.        ]
 [3.86541351 2.77709052 0.         0.42926542]]"
4,4,4*4,1500,1,250.6931332080003,12008,16,32,"[[0.         2.82499655 4.99561499 0.        ]
 [1.0559137  0.         0.         0.        ]
 [4.30405347 4.73621318 0.         0.        ]
 [0.         0.26271315 0.         7.78381407]]"
